t[s]	Bpos	Bspd	A[cm淫	Mma[鑑]	P1[mN/m]	P2[mN/m]	T[蚓]	SP[V]	pH	AD[V]
6765.62	115.776	-1.995	64.09	39.05	45.064	0.000	24.41		0.36	0.000
6775.70	115.726	0.601	64.16	39.10	44.947	0.000	24.41		0.36	0.000
6785.77	115.798	1.995	64.05	39.03	44.961	0.000	24.41		0.36	0.000
6795.82	115.820	-1.995	64.02	39.01	45.103	0.000	24.41		0.36	0.000
6805.90	115.757	-1.995	64.11	39.07	44.974	0.000	24.41		0.37	0.000
6815.97	115.759	1.995	64.11	39.07	44.861	0.000	24.42		0.37	0.000
6826.04	115.858	1.406	63.96	38.98	45.029	0.000	24.42		0.37	0.000
6836.11	115.843	-0.841	63.99	38.99	45.024	0.000	24.41		0.37	0.000
6846.15	115.842	-1.274	63.99	38.99	44.998	0.000	24.41		0.37	0.000
6856.21	115.875	0.325	63.94	38.96	45.027	0.000	24.41		0.37	0.000
6866.26	115.852	-1.995	63.97	38.98	45.114	0.000	24.41		0.37	0.000
6876.33	115.788	1.202	64.07	39.04	44.964	0.000	24.41		0.37	0.000
6886.39	115.865	0.433	63.95	38.97	45.002	0.000	24.41		0.37	0.000
6896.45	115.867	-1.995	63.95	38.97	45.091	0.000	24.41		0.37	0.000
6906.52	115.849	1.995	63.98	38.99	44.904	0.000	24.41		0.37	0.000
6916.59	115.884	1.995	63.92	38.95	44.963	0.000	24.41		0.37	0.000
6926.67	115.886	-1.995	63.92	38.95	45.078	0.000	24.41		0.37	0.000
6936.74	115.877	1.370	63.93	38.96	44.998	0.000	24.40		0.37	0.000
6946.82	115.903	-1.995	63.90	38.94	45.075	0.000	24.39		0.37	0.000
6956.89	115.834	1.971	64.00	39.00	44.953	0.000	24.39		0.37	0.000
6966.94	115.909	-0.096	63.89	38.93	45.046	0.000	24.40		0.37	0.000
6976.97	115.848	-1.995	63.98	38.99	45.019	0.000	24.40		0.37	0.000
6987.05	115.847	0.913	63.98	38.99	44.928	0.000	24.40		0.37	0.000
6997.10	115.858	1.995	63.96	38.98	44.941	0.000	24.40		0.37	0.000
7007.17	115.898	-0.962	63.90	38.94	45.074	0.000	24.40		0.37	0.000
7017.25	115.872	-1.995	63.94	38.96	45.022	0.000	24.40		0.37	0.000
7027.30	115.849	1.995	63.98	38.99	44.926	0.000	24.40		0.37	0.000
7037.35	115.875	1.995	63.94	38.96	44.962	0.000	24.40		0.37	0.000
7047.42	115.880	-1.995	63.93	38.96	45.099	0.000	24.40		0.37	0.000
7057.50	115.849	-0.288	63.98	38.99	44.968	0.000	24.41		0.37	0.000
7067.57	115.886	0.757	63.92	38.95	45.018	0.000	24.41		0.37	0.000
7077.62	115.906	-1.995	63.89	38.93	45.049	0.000	24.41		0.37	0.000
7087.70	115.838	1.995	63.99	39.00	44.938	0.000	24.41		0.37	0.000
7097.77	115.924	-1.058	63.86	38.92	45.118	0.000	24.41		0.37	0.000
7107.85	115.874	-1.995	63.94	38.96	45.018	0.000	24.42		0.37	0.000
7117.90	115.875	-1.995	63.94	38.96	45.017	0.000	24.42		0.37	0.000
7127.98	115.683	1.526	64.23	39.14	44.948	0.000	24.42		0.37	0.000
7138.06	115.876	-1.995	63.94	38.96	45.036	0.000	24.42		0.37	0.000
7148.12	115.857	1.995	63.96	38.98	44.958	0.000	24.42		0.37	0.000
7158.18	115.897	-0.349	63.91	38.94	45.031	0.000	24.42		0.37	0.000
7168.23	115.854	-1.334	63.97	38.98	44.952	0.000	24.42		0.37	0.000
7178.31	115.849	1.995	63.98	38.99	44.949	0.000	24.42		0.37	0.000
7188.36	115.884	1.995	63.92	38.95	44.981	0.000	24.42		0.37	0.000
7198.42	115.899	-1.995	63.90	38.94	45.055	0.000	24.42		0.37	0.000
7208.48	115.853	1.130	63.97	38.98	44.929	0.000	24.41		0.37	0.000
7218.54	115.929	0.505	63.86	38.91	45.012	0.000	24.41		0.37	0.000
7228.62	115.875	-0.084	63.94	38.96	44.960	0.000	24.41		0.37	0.000
7238.70	115.857	0.048	63.96	38.98	44.984	0.000	24.42		0.37	0.000
7248.77	115.895	-1.226	63.91	38.94	44.983	0.000	24.42		0.37	0.000
7258.82	115.894	0.325	63.91	38.94	44.969	0.000	24.42		0.37	0.000
7268.89	115.881	-1.995	63.93	38.96	45.002	0.000	24.42		0.37	0.000
7278.96	115.865	1.995	63.95	38.97	44.973	0.000	24.42		0.37	0.000
7289.01	115.927	-1.995	63.86	38.91	45.039	0.000	24.42		0.37	0.000
7299.07	115.865	0.793	63.95	38.97	44.914	0.000	24.42		0.37	0.000
7309.12	115.893	1.983	63.91	38.95	44.965	0.000	24.42		0.37	0.000
7319.20	115.942	-1.995	63.84	38.90	45.079	0.000	24.42		0.37	0.000
7329.27	115.866	0.613	63.95	38.97	44.976	0.000	24.41		0.37	0.000
7339.32	115.942	0.649	63.84	38.90	45.013	0.000	24.41		0.37	0.000
7349.38	115.912	-1.995	63.88	38.93	45.093	0.000	24.41		0.37	0.000
7359.44	115.924	1.995	63.86	38.92	45.024	0.000	24.40		0.37	0.000
7369.52	115.879	-1.995	63.93	38.96	44.990	0.000	24.40		0.37	0.000
7379.58	115.906	1.995	63.89	38.93	44.944	0.000	24.40		0.37	0.000
7389.65	115.924	-1.466	63.86	38.92	45.011	0.000	24.40		0.37	0.000
7399.70	115.897	1.995	63.91	38.94	44.997	0.000	24.40		0.37	0.000
7409.78	115.956	-1.995	63.82	38.89	45.129	0.000	24.41		0.37	0.000
7419.86	115.906	1.322	63.89	38.93	44.979	0.000	24.40		0.37	0.000
7429.92	115.945	-1.995	63.83	38.90	45.107	0.000	24.40		0.37	0.000
7439.98	115.877	-0.349	63.93	38.96	44.952	0.000	24.40		0.37	0.000
7450.05	115.936	1.995	63.85	38.91	44.962	0.000	24.40		0.37	0.000
7460.12	115.893	-1.995	63.91	38.95	45.024	0.000	24.41		0.37	0.000
7470.16	115.903	1.995	63.90	38.94	44.954	0.000	24.41		0.37	0.000
7480.23	115.888	-0.733	63.92	38.95	44.970	0.000	24.41		0.37	0.000
7490.31	115.925	1.971	63.86	38.92	44.951	0.000	24.41		0.37	0.000
7500.36	115.921	1.995	63.87	38.92	44.976	0.000	24.41		0.37	0.000
7510.41	115.912	-1.995	63.88	38.93	45.004	0.000	24.41		0.37	0.000
7520.46	115.915	-0.120	63.88	38.93	44.966	0.000	24.41		0.37	0.000
7530.52	115.903	1.995	63.90	38.94	44.984	0.000	24.41		0.37	0.000
7540.59	115.925	1.779	63.86	38.92	44.995	0.000	24.41		0.37	0.000
7550.66	115.935	-1.791	63.85	38.91	45.065	0.000	24.41		0.37	0.000
7560.73	115.903	-1.995	63.90	38.94	44.977	0.000	24.42		0.37	0.000
7570.80	115.894	1.995	63.91	38.94	44.928	0.000	24.42		0.37	0.000
7580.85	115.976	-1.995	63.79	38.87	45.177	0.000	24.42		0.37	0.000
7590.92	115.759	-0.805	64.11	39.07	44.975	0.000	24.43		0.37	0.000
7601.00	115.745	1.322	64.13	39.08	44.973	0.000	24.42		0.37	0.000
7611.07	115.892	1.995	63.91	38.95	44.964	0.000	24.42		0.37	0.000
7621.14	115.913	1.827	63.88	38.93	44.981	0.000	24.42		0.37	0.000
7631.18	115.943	1.106	63.84	38.90	45.041	0.000	24.42		0.37	0.000
7641.25	115.956	-1.995	63.82	38.89	45.126	0.000	24.42		0.37	0.000
7651.32	115.931	-0.661	63.85	38.91	44.991	0.000	24.42		0.37	0.000
7661.39	115.945	1.719	63.83	38.90	45.018	0.000	24.43		0.37	0.000
7671.45	115.924	-0.517	63.86	38.92	45.044	0.000	24.43		0.37	0.000
7681.53	115.900	-1.995	63.90	38.94	45.026	0.000	24.43		0.37	0.000
7691.60	115.881	-0.421	63.93	38.96	44.958	0.000	24.42		0.37	0.000
7701.64	115.922	1.010	63.87	38.92	44.985	0.000	24.42		0.37	0.000
7711.71	115.907	-1.466	63.89	38.93	45.040	0.000	24.42		0.37	0.000
7721.77	115.893	0.204	63.91	38.95	44.975	0.000	24.42		0.37	0.000
7731.85	115.874	1.671	63.94	38.96	45.005	0.000	24.41		0.37	0.000
7741.93	115.883	1.466	63.93	38.95	44.966	0.000	24.40		0.37	0.000
7751.99	115.888	0.300	63.92	38.95	45.027	0.000	24.39		0.37	0.000
7762.05	115.888	0.649	63.92	38.95	44.978	0.000	24.39		0.37	0.000
7772.10	115.948	-1.995	63.83	38.90	45.115	0.000	24.40		0.37	0.000
7782.17	115.880	-1.022	63.93	38.96	44.980	0.000	24.40		0.37	0.000
7792.21	115.915	0.613	63.88	38.93	44.995	0.000	24.41		0.37	0.000
7802.27	115.942	-1.995	63.84	38.90	45.043	0.000	24.41		0.37	0.000
7812.35	115.900	0.216	63.90	38.94	44.995	0.000	24.41		0.37	0.000
7822.42	115.930	1.611	63.86	38.91	44.990	0.000	24.41		0.37	0.000
7832.48	115.926	0.012	63.86	38.92	44.995	0.000	24.41		0.37	0.000
7842.55	115.911	1.118	63.88	38.93	44.957	0.000	24.41		0.37	0.000
7852.62	115.952	-0.865	63.82	38.89	45.022	0.000	24.41		0.37	0.000
7862.68	115.890	1.382	63.91	38.95	44.987	0.000	24.41		0.37	0.000
7872.74	115.926	0.685	63.86	38.92	45.012	0.000	24.40		0.37	0.000
7882.80	115.954	-0.409	63.82	38.89	45.044	0.000	24.38		0.37	0.000
7892.88	115.904	-0.361	63.89	38.93	44.954	0.000	24.35		0.37	0.000
7902.96	115.970	-0.108	63.80	38.88	45.094	0.000	24.34		0.37	0.000
7913.02	115.927	-0.577	63.86	38.91	45.038	0.000	24.36		0.37	0.000
7923.10	115.950	1.202	63.82	38.89	44.977	0.000	24.37		0.37	0.000
7933.17	115.921	-1.995	63.87	38.92	45.031	0.000	24.37		0.37	0.000
7943.22	115.894	0.457	63.91	38.94	44.994	0.000	24.38		0.37	0.000
7953.28	115.872	0.192	63.94	38.96	44.967	0.000	24.39		0.37	0.000
7963.35	115.884	1.106	63.92	38.95	44.961	0.000	24.39		0.37	0.000
7973.42	115.924	1.995	63.86	38.92	44.969	0.000	24.40		0.37	0.000
7983.49	115.934	0.649	63.85	38.91	44.983	0.000	24.40		0.38	0.000
7993.56	115.947	-1.995	63.83	38.90	45.108	0.000	24.40		0.38	0.000
8003.64	115.902	-1.995	63.90	38.94	45.011	0.000	24.40		0.38	0.000
8013.71	115.889	0.661	63.92	38.95	44.969	0.000	24.40		0.38	0.000
8023.77	115.885	1.310	63.92	38.95	44.991	0.000	24.40		0.38	0.000
8033.85	115.875	0.913	63.94	38.96	45.011	0.000	24.41		0.38	0.000
8043.92	115.934	0.565	63.85	38.91	44.994	0.000	24.40		0.38	0.000
8054.00	115.958	-1.995	63.81	38.89	45.081	0.000	24.40		0.38	0.000
8064.05	115.902	1.995	63.90	38.94	44.971	0.000	24.40		0.38	0.000
8074.09	115.927	1.995	63.86	38.91	44.925	0.000	24.41		0.38	0.000
8084.15	115.947	-1.995	63.83	38.90	45.044	0.000	24.41		0.38	0.000
8094.23	115.935	1.106	63.85	38.91	44.992	0.000	24.40		0.38	0.000
8104.30	115.979	-1.719	63.78	38.87	45.112	0.000	24.40		0.38	0.000
8114.34	115.904	0.757	63.89	38.93	44.992	0.000	24.40		0.38	0.000
8124.40	115.962	1.262	63.81	38.88	45.001	0.000	24.40		0.38	0.000
8134.48	115.909	-0.240	63.89	38.93	44.963	0.000	24.40		0.38	0.000
8144.56	115.947	1.995	63.83	38.90	44.971	0.000	24.40		0.38	0.000
8154.63	115.947	-1.995	63.83	38.90	45.101	0.000	24.40		0.38	0.000
8164.66	115.904	0.300	63.89	38.93	44.961	0.000	24.41		0.38	0.000
8174.74	115.970	1.226	63.80	38.88	44.996	0.000	24.40		0.38	0.000
8184.81	115.977	-1.995	63.78	38.87	45.088	0.000	24.40		0.38	0.000
8194.87	115.920	0.853	63.87	38.92	44.959	0.000	24.41		0.38	0.000
8204.95	115.986	-1.322	63.77	38.86	45.038	0.000	24.41		0.38	0.000
8215.02	115.924	-0.288	63.86	38.92	44.944	0.000	24.41		0.38	0.000
8225.10	115.921	1.995	63.87	38.92	44.967	0.000	24.41		0.38	0.000
8235.18	115.948	0.132	63.83	38.90	44.985	0.000	24.41		0.38	0.000
8245.25	115.984	-1.995	63.77	38.86	45.113	0.000	24.41		0.38	0.000
8255.32	115.929	-1.995	63.86	38.91	44.980	0.000	24.41		0.38	0.000
8265.39	115.899	1.502	63.90	38.94	44.975	0.000	24.41		0.38	0.000
8275.45	115.918	0.877	63.87	38.92	45.021	0.000	24.41		0.38	0.000
8285.52	115.892	1.106	63.91	38.95	44.998	0.000	24.41		0.38	0.000
8295.59	115.913	-1.406	63.88	38.93	44.983	0.000	24.41		0.38	0.000
8305.64	115.902	0.613	63.90	38.94	44.972	0.000	24.41		0.38	0.000
8315.71	115.894	0.469	63.91	38.94	44.975	0.000	24.41		0.38	0.000
8325.79	115.934	1.995	63.85	38.91	44.992	0.000	24.41		0.38	0.000
8335.87	115.944	1.995	63.83	38.90	44.988	0.000	24.41		0.38	0.000
8345.92	115.968	-1.995	63.80	38.88	45.118	0.000	24.41		0.38	0.000
8355.98	115.936	-1.995	63.85	38.91	45.044	0.000	24.40		0.38	0.000
8366.04	115.956	-1.995	63.82	38.89	45.041	0.000	24.40		0.38	0.000
8376.07	115.918	-0.493	63.87	38.92	45.004	0.000	24.40		0.38	0.000
8386.14	115.880	-0.529	63.93	38.96	44.998	0.000	24.39		0.38	0.000
8396.22	115.833	-1.623	64.00	39.00	45.032	0.000	24.39		0.38	0.000
8406.29	115.812	-1.995	64.03	39.02	45.050	0.000	24.39		0.38	0.000
8416.35	115.847	0.240	63.98	38.99	45.012	0.000	24.40		0.38	0.000
8426.42	115.938	-1.995	63.84	38.90	44.998	0.000	24.40		0.38	0.000
8436.49	115.870	1.142	63.95	38.97	44.978	0.000	24.41		0.38	0.000
8446.57	115.945	-1.791	63.83	38.90	45.037	0.000	24.41		0.38	0.000
8456.64	115.950	-0.757	63.82	38.89	45.040	0.000	24.41		0.38	0.000
8466.71	115.948	1.779	63.83	38.90	44.992	0.000	24.41		0.38	0.000
8476.76	115.966	1.022	63.80	38.88	45.003	0.000	24.41		0.38	0.000
8486.82	115.953	1.995	63.82	38.89	44.942	0.000	24.41		0.38	0.000
8496.90	115.956	-0.204	63.82	38.89	45.064	0.000	24.41		0.38	0.000
8506.97	115.966	-0.036	63.80	38.88	45.050	0.000	24.41		0.38	0.000
8517.05	115.917	-1.563	63.87	38.92	45.025	0.000	24.42		0.38	0.000
8527.11	115.911	0.541	63.88	38.93	45.005	0.000	24.42		0.38	0.000
8537.19	115.974	-0.433	63.79	38.87	45.037	0.000	24.42		0.38	0.000
8547.26	115.943	-0.409	63.84	38.90	44.978	0.000	24.42		0.38	0.000
8557.34	115.935	1.995	63.85	38.91	44.959	0.000	24.42		0.38	0.000
8567.41	115.940	-1.995	63.84	38.90	45.011	0.000	24.41		0.38	0.000
8577.48	115.943	-0.685	63.84	38.90	44.954	0.000	24.42		0.38	0.000
8587.56	115.952	-0.553	63.82	38.89	45.026	0.000	24.42		0.38	0.000
8597.61	115.939	1.142	63.84	38.90	45.005	0.000	24.41		0.38	0.000
8607.67	115.889	-0.601	63.92	38.95	45.021	0.000	24.41		0.38	0.000
8617.73	115.871	1.995	63.94	38.97	44.975	0.000	24.41		0.38	0.000
8627.81	115.975	-0.036	63.79	38.87	45.034	0.000	24.41		0.38	0.000
8637.89	115.943	-1.995	63.84	38.90	45.029	0.000	24.41		0.38	0.000
8647.95	115.940	-1.995	63.84	38.90	45.019	0.000	24.42		0.38	0.000
8658.03	115.921	-0.553	63.87	38.92	44.967	0.000	24.42		0.38	0.000
8668.05	115.935	1.767	63.85	38.91	44.961	0.000	24.41		0.38	0.000
8678.11	115.945	0.661	63.83	38.90	45.011	0.000	24.41		0.38	0.000
8688.19	115.950	1.082	63.82	38.89	44.974	0.000	24.41		0.38	0.000
8698.27	115.970	-0.397	63.80	38.88	45.002	0.000	24.41		0.38	0.000
8708.32	115.988	-0.337	63.77	38.86	45.066	0.000	24.41		0.38	0.000
8718.39	115.935	-0.673	63.85	38.91	45.035	0.000	24.41		0.38	0.000
8728.45	115.938	-1.923	63.84	38.90	44.977	0.000	24.40		0.38	0.000
8738.53	115.917	1.022	63.87	38.92	44.979	0.000	24.40		0.38	0.000
8748.59	115.920	-0.445	63.87	38.92	44.992	0.000	24.40		0.38	0.000
8758.66	115.942	0.697	63.84	38.90	44.971	0.000	24.39		0.38	0.000
8768.74	115.994	-1.995	63.76	38.85	45.053	0.000	24.40		0.38	0.000
8778.81	115.956	-1.995	63.82	38.89	45.032	0.000	24.39		0.38	0.000
8788.88	115.925	1.995	63.86	38.92	44.935	0.000	24.39		0.38	0.000
8798.95	115.968	0.060	63.80	38.88	45.004	0.000	24.39		0.38	0.000
8809.02	115.920	0.733	63.87	38.92	45.008	0.000	24.40		0.38	0.000
8819.10	115.985	-1.995	63.77	38.86	45.019	0.000	24.40		0.38	0.000
8829.17	115.942	-1.995	63.84	38.90	44.981	0.000	24.40		0.38	0.000
8839.25	115.933	-0.192	63.85	38.91	44.981	0.000	24.40		0.38	0.000
8849.31	115.954	0.950	63.82	38.89	44.949	0.000	24.40		0.38	0.000
8859.38	115.913	1.370	63.88	38.93	45.011	0.000	24.40		0.38	0.000
8869.45	115.933	-1.154	63.85	38.91	45.004	0.000	24.40		0.38	0.000
8879.53	115.952	1.526	63.82	38.89	44.980	0.000	24.40		0.38	0.000
8889.60	116.004	-1.190	63.74	38.84	45.100	0.000	24.39		0.38	0.000
8899.66	115.965	0.793	63.80	38.88	44.993	0.000	24.39		0.38	0.000
8909.69	115.963	1.623	63.81	38.88	44.952	0.000	24.39		0.38	0.000
8919.77	115.959	0.409	63.81	38.88	44.988	0.000	24.38		0.38	0.000
8929.83	115.945	1.094	63.83	38.90	44.943	0.000	24.39		0.38	0.000
8939.88	115.959	1.995	63.81	38.88	44.989	0.000	24.39		0.38	0.000
8949.95	115.945	-1.394	63.83	38.90	45.020	0.000	24.40		0.38	0.000
8960.03	115.957	1.815	63.81	38.89	44.951	0.000	24.40		0.38	0.000
8970.04	115.817	-1.995	64.02	39.01	45.044	0.000	24.40		0.38	0.000
8980.12	115.974	-0.024	63.79	38.87	45.014	0.000	24.40		0.38	0.000
8990.19	115.920	0.409	63.87	38.92	45.009	0.000	24.40		0.38	0.000
9000.27	115.970	0.072	63.80	38.88	45.030	0.000	24.40		0.38	0.000
9010.34	115.944	-0.192	63.83	38.90	45.017	0.000	24.39		0.38	0.000
9020.42	115.912	1.382	63.88	38.93	44.965	0.000	24.39		0.38	0.000
9030.47	115.931	0.853	63.85	38.91	44.970	0.000	24.39		0.38	0.000
9040.54	115.931	1.514	63.85	38.91	44.952	0.000	24.39		0.38	0.000
9050.62	115.958	0.901	63.81	38.89	44.944	0.000	24.39		0.38	0.000
9060.70	115.983	-0.300	63.78	38.86	44.997	0.000	24.39		0.38	0.000
9070.78	115.976	-1.106	63.79	38.87	45.002	0.000	24.39		0.38	0.000
9080.84	115.967	-1.995	63.80	38.88	45.017	0.000	24.39		0.38	0.000
9090.92	115.948	1.779	63.83	38.90	44.986	0.000	24.39		0.38	0.000
9100.99	115.948	0.913	63.83	38.90	44.962	0.000	24.39		0.38	0.000
9111.06	115.963	1.707	63.81	38.88	44.977	0.000	24.39		0.38	0.000
9121.10	115.994	-0.409	63.76	38.85	45.039	0.000	24.39		0.38	0.000
9131.18	116.002	-0.096	63.75	38.85	45.036	0.000	24.39		0.38	0.000
9141.26	115.957	-0.132	63.81	38.89	44.992	0.000	24.39		0.38	0.000
9151.32	116.007	-1.995	63.74	38.84	45.030	0.000	24.39		0.38	0.000
9161.39	115.952	-1.995	63.82	38.89	44.999	0.000	24.39		0.38	0.000
9171.45	115.986	-1.995	63.77	38.86	45.039	0.000	24.39		0.38	0.000
9181.53	115.959	-1.995	63.81	38.88	44.998	0.000	24.39		0.38	0.000
9191.60	115.942	1.599	63.84	38.90	45.030	0.000	24.39		0.38	0.000
9201.67	115.970	0.264	63.80	38.88	45.009	0.000	24.40		0.38	0.000
9211.74	115.943	0.601	63.84	38.90	45.005	0.000	24.39		0.38	0.000
9221.80	115.986	1.851	63.77	38.86	44.954	0.000	24.39		0.38	0.000
9231.87	116.011	-0.517	63.73	38.84	45.029	0.000	24.40		0.38	0.000
9241.95	115.944	0.108	63.83	38.90	44.963	0.000	24.40		0.38	0.000
9252.03	115.962	0.697	63.81	38.88	44.992	0.000	24.40		0.38	0.000
9262.10	116.000	-1.995	63.75	38.85	45.112	0.000	24.40		0.38	0.000
9272.14	115.963	-1.178	63.81	38.88	44.958	0.000	24.39		0.38	0.000
9282.22	115.950	0.096	63.82	38.89	44.993	0.000	24.39		0.38	0.000
9292.30	115.983	0.240	63.78	38.86	44.941	0.000	24.40		0.38	0.000
9302.37	116.003	-1.454	63.75	38.84	45.035	0.000	24.39		0.38	0.000
9312.43	115.921	-0.757	63.87	38.92	45.015	0.000	24.39		0.38	0.000
9322.51	115.894	-0.986	63.91	38.94	45.009	0.000	24.40		0.38	0.000
9332.58	115.908	-0.421	63.89	38.93	44.992	0.000	24.40		0.38	0.000
9342.65	116.021	-1.995	63.72	38.83	45.149	0.000	24.40		0.38	0.000
9352.70	115.920	-0.132	63.87	38.92	44.970	0.000	24.40		0.38	0.000
9362.77	115.950	-0.781	63.82	38.89	45.022	0.000	24.40		0.38	0.000
9372.85	115.956	-0.889	63.82	38.89	45.041	0.000	24.40		0.38	0.000
9382.93	115.948	0.625	63.83	38.90	44.997	0.000	24.40		0.38	0.000
9392.98	115.961	1.166	63.81	38.88	44.964	0.000	24.39		0.38	0.000
